Transaction_ID;Employee_ID;Category;Amount;Date;Merchant;Has_Receipt;Payment_Method;Business_Purpose;Location
T00052;E114;Hotel;195,44;8.09.2025;Mercure;Yes;Personal Card;Supplier meeting;Amsterdam, Netherlands
T00157;E143;Dinner;47,04;5.11.2025;Der Elefant;Yes;Corporate Card;Client dinner;Paris, France
T00016;E108;Lunch;32,45;10.01.2025;Local Bistro;No;Corporate Card;Customer workshop;Krakow, Poland
T00275;E169;Breakfast;13,93;27.03.2025;Paul;Yes;Corporate Card;Client meeting;Paris, France
T00155;E143;Airfare;878,29;2.07.2025;Ryanair;Yes;Personal Card;Customer visit;Berlin, Germany
T00091;E123;Lunch;35,93;5.08.2025;Zabka;Yes;Corporate Card;HR workshop;Hamburg, Germany
T00264;E169;Airfare;1631,75;30.01.2025;Austrian Airlines;Yes;Corporate Card;Agency workshop;Edinburgh, UK
T00209;E157;Train;109,18;28.04.2025;SNCF;Yes;Corporate Card;Training;Vienna, Austria
T00218;E157;Airfare;521,55;6.02.2025;SAS;No;Corporate Card;Client visit;London, UK
T00141;E141;Train;162,09;29.07.2025;ČD Railways;Yes;Corporate Card;Supplier meeting;Frankfurt, Germany
T00020;E108;Hotel;277,65;31.10.2025;Holiday Inn;Yes;Corporate Card;Customer visit;Gdansk, Poland
T00055;E114;Dinner;80,11;12.08.2025;Hotel Restaurant;Yes;Personal Card;Partner meeting;Berlin, Germany
T00104;E126;Dinner;85,3;20.10.2025;Concept 13;Yes;Personal Card;Customer workshop;Munich, Germany
T00202;E157;Airfare;928,43;19.12.2025;Brussels Airlines;Yes;Corporate Card;Campaign event;Warsaw, Poland
T00215;E157;Train;129,86;27.11.2025;RegioJet;Yes;Corporate Card;Internal meeting;Paris, France
T00174;E151;Dinner;46,15;21.11.2025;Hotel Restaurant;No;Corporate Card;Agency dinner;Vienna, Austria
T00223;E157;Train;68,8;20.05.2025;Deutsche Bahn;Yes;Corporate Card;Customer visit;Paris, France
T00171;E151;Airfare;307,34;20.03.2025;Ryanair;Yes;Corporate Card;Campaign event;Munich, Germany
T00110;E130;Dinner;38,51;16.05.2025;Stary Dom;Yes;Corporate Card;Business trip;London, UK
T00302;E171;Dinner;87,38;6.01.2025;Concept 13;Yes;Personal Card;HR workshop;Dublin, Ireland
T00156;E143;Train;158,72;24.01.2025;PKP Intercity;Yes;Corporate Card;Supplier meeting;Paris, France
T00073;E121;Airfare;375,89;24.03.2025;Air France;Yes;Corporate Card;Conference attendance;Prague, Czech Republic
T00299;E171;Airfare;477,37;1.08.2025;Wizz Air;Yes;Corporate Card;Customer visit;London, UK
T00190;E157;Taxi/Rideshare;49,98;28.04.2025;iTaxi;Yes;Corporate Card;Conference attendance;Paris, France
T00219;E157;Lunch;52,78;30.04.2025;Food Hall;Yes;Corporate Card;Partner meeting;Paris, France
T00129;E139;Airfare;439,43;4.04.2025;KLM;Yes;Personal Card;Conference attendance;Gdansk, Poland
T00112;E132;Lunch;46,36;7.03.2025;Aioli;Yes;Corporate Card;Internal meeting;Wroclaw, Poland
T00075;E121;Lunch;35,91;27.02.2025;Zabka;Yes;Personal Card;Agency meeting;Berlin, Germany
T00189;E157;Breakfast;19,47;26.02.2025;Zebra Cafe;Yes;Corporate Card;Early client workshop;Vienna, Austria
T00117;E134;Taxi/Rideshare;48,02;5.08.2025;Taxi Berlin;Yes;Personal Card;Conference attendance;Hamburg, Germany
T00049;E114;Taxi/Rideshare;24,53;3.10.2025;mytaxi;Yes;Corporate Card;Travel between offices;Manchester, UK
T00133;E140;Airfare;1013,23;23.09.2025;easyJet;Yes;Corporate Card;Customer visit;Dublin, Ireland
T00086;E122;Airfare;609,22;28.07.2025;Austrian Airlines;Yes;Corporate Card;Training;Krakow, Poland
T00018;E108;Breakfast;12,86;10.11.2025;Galeria Wypiekow;Yes;Personal Card;Client meeting;Wroclaw, Poland
T00180;E153;Hotel;107,27;16.11.2025;Sheraton;Yes;Corporate Card;Business trip;Vienna, Austria
T00081;E121;Train;128,97;13.03.2025;SNCF;Yes;Corporate Card;Supplier meeting;Berlin, Germany
T00293;E170;Dinner;81,29;10.03.2025;Soul Kitchen;Yes;Corporate Card;Team dinner;Vienna, Austria
T00150;E142;Hotel;237,56;21.03.2025;Mercure;Yes;Corporate Card;Sales visit;Paris, France
T00197;E157;Dinner;47,13;18.04.2025;Whisky in the Jar;Yes;Corporate Card;Conference attendance;Krakow, Poland
T00067;E117;Taxi/Rideshare;86,38;23.05.2025;iTaxi;Yes;Corporate Card;Travel between offices;Prague, Czech Republic
T00166;E146;Breakfast;23,5;29.07.2025;Paul;Yes;Corporate Card;Travel to customer site;Warsaw, Poland
T00044;E114;Taxi/Rideshare;56,93;27.11.2025;Taxi Berlin;Yes;Corporate Card;Airport transfer;Manchester, UK
T00251;E167;Lunch;58,73;20.03.2025;North Fish;Yes;Personal Card;Prospect meeting;Wroclaw, Poland
T00298;E170;Dinner;58,49;17.11.2025;Local Restaurant;Yes;Corporate Card;Audit meeting;Wroclaw, Poland
T00149;E142;Hotel;154,2;30.09.2025;NH Hotels;Yes;Corporate Card;Supplier visit;Berlin, Germany
T00272;E169;Airfare;847,72;26.11.2025;Air France;Yes;Corporate Card;Agency workshop;London, UK
T00077;E121;Lunch;31,2;30.06.2025;North Fish;No;Corporate Card;Customer workshop;London, UK
T00239;E159;Airfare;591,86;7.03.2025;Lufthansa;Yes;Corporate Card;HR conference;Gdansk, Poland
T00268;E169;Hotel;137,69;11.09.2025;Holiday Inn;Yes;Personal Card;Conference attendance;Paris, France
T00108;E130;Dinner;44,26;25.11.2025;Hotel Restaurant;Yes;Corporate Card;Business trip;Krakow, Poland
T00260;E168;Airfare;323,75;14.02.2025;British Airways;No;Corporate Card;Training;Vienna, Austria
T00168;E146;Lunch;41,17;24.10.2025;Pret A Manger;Yes;Corporate Card;Customer workshop;Paris, France
T00181;E153;Hotel;359,96;10.04.2025;Motel One;Yes;Corporate Card;Training;Krakow, Poland
T00277;E169;Train;136,01;6.08.2025;Eurostar;Yes;Corporate Card;Customer visit;Berlin, Germany
T00163;E144;Airfare;1136,96;3.11.2025;Lufthansa;Yes;Personal Card;Supplier meeting;Amsterdam, Netherlands
T00059;E115;Dinner;55,03;28.10.2025;Nobu Warsaw;Yes;Corporate Card;Client dinner;Vienna, Austria
T00106;E126;Airfare;903,69;17.06.2025;Brussels Airlines;Yes;Corporate Card;Training;Frankfurt, Germany
